title,url,blurb,tag
Why LINQ Matters:Cloud Composability Guaranteed,https://queue.acm.org/detail.cfm?id=2141937,"The benefits of composability are becoming clear in software engineering",programming
Don’t Come to the Dark Side,http://www.dau.mil/pubscats/ATL%20Docs/Sep-Oct11/Ward.pdf,"They shouldn’t build those Death Stars anymore. They keep getting blown up",engineering
Your Mouse is a Database,http://queue.acm.org/detail.cfm?id=2169076,"Web and mobile applications are increasingly composed of asynchronous and realtime streaming services and push notifications",programming
Adopt Open Source Process Constraints,http://tomayko.com/writings/adopt-an-open-source-process-constraints,"Your team should work like an open source project",software
Making Sense of Stream Processing,http://blog.confluent.io/2015/01/29/making-sense-of-stream-processing,"We will discuss how event streams can help make your application more scalable, more reliable and more maintainable",engineering
Disambiguating Databases,http://queue.acm.org/detail.cfm?id=2696453,"Use the database built for your access model",engineering
Why Software Is Eating The World,http://www.wsj.com/articles/SB10001424053111903480904576512250915629460,"Many of the winners are Silicon Valley-style entrepreneurial technology companies that are invading and overturning established industry structures",software
Personal observations on the reliability of the Shuttle,http://science.ksc.nasa.gov/shuttle/missions/51-l/docs/rogers-commission/Appendix-F.txt,"For a successful technology, reality must take precedence over
public relations, for nature cannot be fooled",engineering
Improving Performance on Twitter.com,https://blog.twitter.com/2012/improving-performance-on-twittercom,"To improve the twitter.com experience for everyone, we’ve been working to take back control of our front-end performance by moving the rendering to the server",engineering
The Expression Problem,http://homepages.inf.ed.ac.uk/wadler/papers/expression/expression.txt,"Whether a language can solve the Expression Problem is a salient indicator of its capacity for expression",programming
The Curse of the Excluded Middle,https://queue.acm.org/detail.cfm?ref=rss&id=2611829,"Mostly functional programming does not work",programming
Overused Code Reuse,http://ithare.com/overused-code-reuse,"It’s tempting to use someone else’s code rather than write it yourself.",engineering
REST APIs must be Hypertext-Driven,http://roy.gbiv.com/untangled/2008/rest-apis-must-be-hypertext-driven,"I am getting frustrated by the number of people calling any HTTP-based interface a REST API.",engineering
The Bugs We Have to Kill,https://www.usenix.org/system/files/login/articles/login_aug15_02_bratus.pdf,"The code that parses inputs is the first and often the only protection
for the rest of a program from malicious inputs.",engineering
Learnable Programming,http://worrydream.com/LearnableProgramming,"Designing a programming system for understanding programs.",programming
Five Years Building a Culture and Handing it Off,http://laughingmeme.org/2015/08/31/five-years-building-a-culture-and-handing-it-off,"After 5 years, the time has come. This is my last week as Etsy’s CTO.",engineering
Feral Concurrency Control,http://www.bailis.org/papers/feral-sigmod2015.pdf,"In this work, we empirically investigate modern ORM-backed applications’ use and disuse of database concurrency control mechanisms.",engineering
